Collector Max Voltage (mV),PicoScope ICT Charge,Enclosed,
-2.96706,17.10093916,0.94%,0.1607488281
-0.440067,22.34981142,1.02%,0.2279680765
-6.57167,51.36784676,0.44%,0.2260185258
-0.938878,49.52229324,1.81%,0.8963535077
-1.82356,188.3368341,1.01%,1.902202025
-3.82351,10.30939025,1.56%,0.1608264879
-1.3224,179.0976255,1.12%,2.005893406
-1.34357,259.0221118,0.46%,1.191501714
-1.33181,167.6043737,1.06%,1.776606361
-1.34357,218.6890577,0.97%,2.121283859
-0.0353722,-26.2700069,0.38%,-0.0998260262
-1.35769,110.3463637,0.96%,1.059325092
-1.60239,128.758645,0.98%,1.261834721
-4.10821,-21.61114668,0.92%,-0.1988225495
-0.870644,-21.61114668,3.18%,-0.6872344646
-1.4871,184.6675901,1.10%,2.031343491
-2.76001,228.4485347,0.78%,1.781898571
-1.86356,57.88428422,1.67%,0.9666675464
-3.84939,247.7965754,0.78%,1.932813288
-1.32475,141.5861909,0.87%,1.231799861
-1.05652,188.0128268,0.88%,1.654512876
-2.04473,352.3862602,0.55%,1.938124431
-6.7999,27.27583362,0.56%,0.1527446683
-0.72006,38.86768347,0.32%,0.1243765871
-3.39293,-21.03883326,0.57%,-0.1199213496
-7.8187,-5.646938182,0.79%,-0.04461081163
-0.423676,17.72882847,0.34%,0.06027801681
-2.34833,-11.56682492,1.03%,-0.1191382967
-0.569555,25.24841036,0.79%,0.1994624419
-3.66594,114.4363258,1.33%,1.522003133
-0.404853,12.05047213,0.91%,0.1096592964
-1.9154,183.903481,1.14%,2.096499684
-1.53894,158.7797008,0.93%,1.476651217
-2.10834,300.9887866,0.91%,2.738997958
-5.07767,245.6246968,1.24%,3.045746241
-0.141331,29.00767178,0.36%,0.1044276184
-0.080156,49.61012159,0.37%,0.1835574499
-1.16719,27.95234466,0.76%,0.2124378194
-1.19542,150.7388923,0.78%,1.17576336
-0.738962,150.7388923,0.78%,1.17576336
-6.68233,122.968905,1.26%,1.549408203
-2.22128,240.4732223,1.17%,2.813536701
-0.804843,60.88328104,1.63%,0.992397481
-0.837783,96.28744012,0.84%,0.808814497
-2.4048,273.8148472,0.81%,2.217900262
-0.917781,221.3379141,0.32%,0.7082813251
-0.0660387,28.41617797,0.37%,0.1051398585
-0.0754502,45.36568348,0.36%,0.1633164605
-0.080156,-53.53584449,0.37%,-0.1980826246
-0.0754502,49.38829133,0.36%,0.1777978488
-1.13425,-37.66417509,0.65%,-0.2448171381
-1.39306,184.3579531,1.06%,1.954194303
-0.870723,40.40152661,1.07%,0.4322963347
-0.513086,15.45955832,1.08%,0.1669632299
-1.426,188.3349507,0.95%,1.789182032
-1.40718,166.2453662,0.97%,1.612580052
-0.334267,7.101489725,0.82%,0.05823221575
-0.644847,-14.48162555,0.98%,-0.1419199303
-0.484851,-7.982575223,0.94%,-0.0750362071
-0.193094,9.354357694,0.38%,0.03554655924
-1.0166,117.7195506,0.90%,1.059475955
-1.98599,54.99281117,0.94%,0.516932425
-0.94131,50.85113401,1.21%,0.6152987216
-2.02834,221.7177994,1.15%,2.549754693
-4.97885,244.5082343,1.17%,2.860746341
-1.04484,148.594777,0.74%,1.09960135
-1.74599,,1.12%,0
-0.550732,83.38750671,0.75%,0.6254063003
-5.00238,70.77001709,0.33%,0.2335410564
-0.720139,40.0963041,0.63%,0.2526067158
-1.12954,102.1274826,0.87%,0.8885090989
-0.0707445,-12.92914151,0.36%,-0.04654490945
-2.96479,64.89183709,0.70%,0.4542428596
-0.946016,42.53947697,0.27%,0.1148565878
-1.12013,20.44312344,0.81%,0.1655892999
-0.122508,-69.77701822,0.32%,-0.2232864583
-1.79305,105.8121186,1.17%,1.238001787
-1.39777,-15.53166599,1.09%,-0.1692951593
-1.04013,75.17604824,0.87%,0.6540316197
-3.24713,226.3900297,1.06%,2.399734314
-2.03305,191.1345597,1.20%,2.293614716
-0.0754502,-37.65410023,0.37%,-0.1393201709
-0.061333,68.63232662,0.37%,0.2539396085
-0.098979,45.60573828,0.34%,0.1550595101
-0.658964,-75.05200653,1.10%,-0.8255720718
-0.080156,47.60325303,0.37%,0.1761320362
-8.73875,6.183508084,0.48%,0.02968083881
-0.108391,62.27694932,0.38%,0.2366524074
-1.0966,52.03645225,0.79%,0.4110879728
-1.85893,113.2321864,0.83%,0.9398271473
-1.08248,38.77859079,0.93%,0.3606408943
-0.136625,35.6316515,0.39%,0.1389634408
-0.0707445,37.25528709,0.36%,0.1341190335
-1.5013,106.2939374,1.79%,1.90266148
-1.90128,6.602315624,0.87%,0.05744014593
-0.828372,93.34364276,0.74%,0.6907429565
-1.33189,124.3443841,1.57%,1.952206831
-2.33892,171.0600498,1.11%,1.898766552
-1.25189,100.2567223,0.70%,0.7017970558
-1.97187,249.944987,0.89%,2.224510384
-0.0660387,-68.2478112,0.36%,-0.2456921203
-0.080156,-65.42816733,0.37%,-0.2420842191
-1.29424,51.47573453,0.21%,0.1080990425
-0.0754502,-69.84797075,0.38%,-0.2654222889
-0.908369,22.43400705,1.16%,0.2602344818
-1.51541,154.3476551,0.97%,1.497172255
-0.706022,70.76872486,0.87%,0.6156879063
-0.649553,100.8133697,1.07%,1.078703056
-3.29419,21.29716629,1.70%,0.362051827
-1.13895,121.7417049,0.86%,1.046978662
-0.0707445,39.08874686,0.36%,0.1407194887
-0.447205,65.02096872,0.91%,0.5916908154
-0.061333,22.77577694,0.37%,0.08427037467
-1.20483,160.5046173,0.82%,1.316137862
-0.0754502,54.92108788,0.38%,0.2087001339
-0.913075,125.6250287,0.83%,1.042687738
-0.861312,128.1444479,0.91%,1.166114475
-1.15777,108.1861057,0.70%,0.7573027399
-0.771902,125.670205,0.74%,0.9299595171
-0.0707445,63.41240224,0.37%,0.2346258883
-0.0660387,58.27304558,0.36%,0.2097829641
-0.0707445,54.77250536,0.36%,0.1971810193
-0.0707445,57.1973135,0.38%,0.2173497913
-0.080156,75.00330204,0.37%,0.2775122176
-1.47306,11.71935436,0.83%,0.09727064122
-4.50827,19.81392239,0.65%,0.1287904955
-2.28716,28.55433603,0.55%,0.1570488481
-0.908369,137.6101371,1.15%,1.582516577
-0.080156,-47.36903743,0.37%,-0.1752654385
-0.0707445,80.86785706,0.36%,0.2911242854
-0.8519,58.72246867,0.31%,0.1820396529
-0.080156,40.77480531,0.36%,0.1467892991
-1.69423,96.15205166,1.34%,1.288437492
-1.65659,186.4860946,0.70%,1.305402663
-0.687199,95.06018929,0.73%,0.6939393818
-2.10363,145.1526627,0.95%,1.378950296
-0.673082,152.3066585,0.77%,1.172761271
-0.0707445,59.15146007,0.37%,0.2188604023
-0.0660387,73.26219151,0.37%,0.2710701086
-0.0660387,49.93459483,0.37%,0.1847580009
-0.061333,-43.75287795,0.36%,-0.1575103606
-0.0660387,-43.75287795,0.37%,-0.1618856484
-0.0754502,49.13298245,0.38%,0.1867053333
-0.484851,-27.72828957,0.65%,-0.1802338822
-0.531909,43.21765637,0.66%,0.2852365321
-1.65188,144.1072738,1.09%,1.570769285
-0.061333,58.40670703,0.36%,0.2102641453
-0.0660387,42.54465401,0.37%,0.1574152198
-0.0707445,24.61877612,0.37%,0.09108947164
-0.080156,34.60214023,0.37%,0.1280279189
-1.40718,-21.01568021,0.92%,-0.1933442579
-0.833077,5.607459334,1.09%,0.06112130674
-1.41659,52.8026593,2.64%,1.393990206
-1.85893,24.40365752,1.55%,0.3782566915
-0.715433,125.6358039,0.68%,0.8543234663
-0.0660387,50.16106739,0.42%,0.210676483
-0.080156,24.67737341,0.37%,0.09130628161
-0.0660387,60.62470996,0.37%,0.2243114269
-0.0707445,39.56232898,0.38%,0.1503368501
-0.724845,43.52450249,0.37%,0.1610406592
-0.0848618,-38.59414563,0.37%,-0.1427983388
-1.11072,-10.96225136,0.59%,-0.06467728303
-1.09189,98.35414427,1.33%,1.308110119
-0.993073,126.8345176,0.66%,0.837107816
-0.061333,44.74456443,0.37%,0.1655548884
-0.0942733,27.02199749,0.37%,0.0999813907
-0.0848618,63.09840824,0.38%,0.2397739513
-0.0754502,12.284872,0.38%,0.0466825136
-1.40247,56.7394919,0.97%,0.5503730715
-0.0707445,14.96793512,0.38%,0.05687815344
-0.621318,84.4984879,0.97%,0.8196353327
-0.381325,69.05517702,1.07%,0.7388903941
-0.0895675,-19.28855833,0.38%,-0.07329652166
-0.0754502,4.073069051,0.37%,0.01507035549
-0.080156,25.99265935,0.37%,0.09617283961
-0.080156,13.47296962,0.36%,0.04850269062
-0.889546,13.04379259,0.68%,0.0886977896
-0.103685,-5.293405064,0.99%,-0.05240471014
-1.28954,40.91089717,3.42%,1.399152683
-4.22585,152.9120974,1.63%,2.492467188
-3.50822,196.778585,2.34%,4.60461889
-2.21414,178.3904724,1.64%,2.925603747
-1.45651,271.2358004,1.16%,3.146335285
-0.0259607,16.65066624,0.37%,0.06160746508
-0.0494895,4.936371611,0.37%,0.01826457496
-0.0424309,-1.735134733,0.37%,-0.006419998513
-0.0306665,-9.343951728,0.36%,-0.03363822622
-1.68003,132.737934,1.65%,2.190175911
-0.0541953,9.305870836,0.36%,0.03350113501
-4.15291,118.0202597,2.07%,2.443019376
-7.38812,155.5173047,1.48%,2.301656109
-1.31306,73.94072692,3.34%,2.469620279
-2.72009,363.5742067,0.93%,3.381240122
-0.0848618,5.783379126,0.36%,0.02082016485
-0.0707445,-7.41260679,0.40%,-0.02965042716
-0.0754502,8.941941133,0.36%,0.03219098808
-0.098979,14.0627892,0.36%,0.05062604112
-0.0754502,15.20069285,0.37%,0.05624256355
-2.14598,38.18689005,1.94%,0.7408256669
-0.94131,59.24841691,5.96%,3.531205648
-2.25892,192.8626409,1.88%,3.625817649
-0.098979,5.264756425,1.35%,0.07107421173
-1.98599,55.67567833,4.03%,2.243729837
-3.29889,153.6213153,2.30%,3.533290251
-0.0754502,-1.988248497,0.36%,-0.00715769459
-0.080156,-4.316284861,0.43%,-0.0185600249
-0.098979,16.22492678,0.37%,0.06003222909
-0.080156,4.375530772,0.36%,0.01575191078
-0.080156,-2.490642523,0.37%,-0.009215377335
-0.080156,18.71800168,0.36%,0.06738480605
-2.53656,159.3972478,1.63%,2.59817514
-0.0707445,6.322021111,0.36%,0.022759276
-1.75541,226.6353768,0.79%,1.790419477
-0.226035,26.91796565,4.13%,1.111711981
-0.0566272,3.850330882,0.36%,0.01386119117
-0.0566272,14.24457267,0.37%,0.0527049189
-0.0707445,10.74564101,0.42%,0.04513169225
-0.0660387,13.47519964,0.37%,0.04985823866
-0.080156,14.06063512,0.36%,0.05061828644
-0.0707445,3.641481215,0.37%,0.01347348049
-0.32015,64.77282631,0.78%,0.5052280452
-0.654259,7.371099659,0.64%,0.04717503782
-2.36715,204.5065943,1.31%,2.679036385
-1.30365,35.9976925,5.62%,2.023070319
-0.061333,9.673675352,0.37%,0.0357925988
-0.0660387,9.382116648,0.37%,0.0347138316
-0.0848618,7.894988196,0.37%,0.02921145632
-0.0707445,3.334526041,0.41%,0.01367155677
-0.0848618,14.39630256,0.39%,0.05614557997
-0.113096,-3.969745186,1.46%,-0.05795827972
-0.889546,19.52779307,2.77%,0.540919868
-0.329561,3.131057624,0.40%,0.0125242305
-1.65188,260.5886512,1.03%,2.684063108
-0.0707445,0.6218531247,0.37%,0.002300856561
-0.0754502,-6.38301675,0.37%,-0.02361716198
-0.0707445,14.81608553,0.36%,0.0533379079
-0.0707445,19.63004355,0.36%,0.07066815679
-0.0895675,9.843627205,0.36%,0.03543705794
-0.0660387,-0.009480072667,0.37%,-0.00003507626887
-1.70364,19.55729854,1.27%,0.2483776914
-0.0707445,13.89468864,0.38%,0.05279981683
-2.55538,130.4218214,1.67%,2.178044418
-2.06128,100.5149903,2.83%,2.844574224
-0.0754502,3.852116816,0.37%,0.01425283222
-0.0754502,13.55795796,0.36%,0.04880864864
-0.0754502,5.577266783,0.37%,0.0206358871
-0.0660387,7.990143486,0.36%,0.02876451655
-0.0754502,5.243880714,0.37%,0.01940235864
-0.0519215,3.933558066,0.37%,0.01455416485
-2.03305,5.98934641,0.90%,0.05390411769
-0.960133,1.758201118,0.81%,0.01424142906
-3.23301,34.95395129,0.93%,0.325071747
-0.061333,11.4622425,0.37%,0.04241029726
-0.061333,13.59755188,0.36%,0.04895118676
-0.061333,11.40679812,0.36%,0.04106447322
-0.0707445,3.300092695,0.36%,0.0118803337
-0.0707445,-2.47753082,0.37%,-0.009166864032
-0.0848618,13.03011673,0.37%,0.04821143191
-0.0942733,-15.14107838,1.40%,-0.2119750973
-0.0707445,7.164363872,0.37%,0.02650814633
-0.0754502,15.48556887,0.36%,0.05574804795
-0.080156,-0.1241877564,0.37%,-0.0004594946987
-0.061333,10.12752772,0.36%,0.0364590998
-0.0707445,6.445128617,0.36%,0.02320246302
-0.0707445,1.127407697,0.37%,0.004171408479
-0.0754502,-4.585395931,0.37%,-0.01696596495
-0.0754502,5.54355728,0.36%,0.01995680621
-0.0707445,2.950411778,0.37%,0.01091652358
-0.0895675,2.082255434,0.44%,0.009161923908
-0.0895675,4.162436312,0.59%,0.02455837424
-0.0660387,,0.37%,0
-0.0660387,,0.36%,0
-0.0848618,-7.135477857,0.12%,-0.008562573428
-0.080156,8.996892488,0.36%,0.03238881296
-0.080156,12.45718933,0.07%,0.008720032529
-0.0707445,13.73236203,0.94%,0.1290842031
-0.080156,4.565660896,0.94%,0.04291721242
-0.0707445,,0.19%,0
-0.061333,,0.00%,0
-0.0848618,-0.3673794271,0.00%,0
-0.0707445,1.734350858,0.00%,0
-0.061333,-0.3840954969,0.00%,0
-0.0707445,-8.460208015,0.00%,0
-0.0707445,5.800479421,0.00%,0
-0.0707445,-5.707822328,0.00%,0
-0.0707445,-13.52255639,0.00%,0
-0.0660387,-9.366364484,0.00%,0
-0.0707445,-1.964812292,0.00%,0
-0.0707445,9.095586037,0.00%,0
