Time,Channel B
(ns),(mV)

47.00000111,-9.66596900
47.50000110,-9.78531000
48.00000108,-9.77977300
48.50000107,-9.63890200
49.00000106,-9.68811500
49.50000104,-9.91510800
50.00000103,-10.02522000
50.50000101,-10.01415000
51.00000100,-9.95386200
51.50000099,-9.83452200
52.00000097,-9.83452200
52.50000096,-9.95386200
53.00000094,-10.01415000
53.50000093,-10.02522000
54.00000092,-9.91264700
54.50000090,-9.67458200
55.00000089,-9.67458200
55.50000087,-9.91264700
56.00000086,-10.02522000
56.50000084,-10.01415000
57.00000083,-9.95939900
57.50000082,-9.86220500
58.00000080,-9.74963100
58.50000079,-9.61983200
59.00000077,-9.72933000
59.50000076,-10.07566000
60.00000075,-10.18270000
60.50000073,-10.04183000
61.00000072,-9.98154500
61.50000070,-9.99261800
62.00000069,-10.00062000
62.50000067,-10.02215000
63.00000066,-9.91818300
63.50000065,-9.70164800
64.00000063,-9.59461100
64.50000062,-9.60568300
65.00000060,-9.66350800
65.50000059,-9.77116100
66.00000058,-9.82344900
66.50000056,-9.81237700
67.00000055,-9.80745600
67.50000053,-9.79638200
68.00000052,-9.85113100
68.50000051,-9.97047100
69.00000049,-9.96739700
69.50000048,-9.83759800
70.00000046,-9.83759800
70.50000045,-9.96739700
71.00000043,-9.96739700
71.50000042,-9.83759800
72.00000041,-9.83452200
72.50000039,-9.95386200
73.00000038,-10.01415000
73.50000036,-10.02522000
74.00000035,-9.91264700
74.50000034,-9.67458200
75.00000032,-9.67150600
75.50000031,-9.89849900
76.00000029,-10.06398000
76.50000028,-10.16117000
77.00000026,-10.15563000
77.50000025,-10.03629000
78.00000024,-9.98400600
78.50000022,-10.00615000
79.00000021,-9.95632300
79.50000019,-9.84867000
80.00000018,-9.79330700
80.50000017,-9.79330700
81.00000015,-9.85113100
81.50000014,-9.97047100
82.00000012,-9.97293300
82.50000011,-9.86466500
83.00000010,-9.75209100
83.50000008,-9.63336600
84.00000007,-9.69365100
84.50000005,-9.94279000
85.00000004,-9.94525100
85.50000002,-9.70718500
86.00000001,-9.59461100
86.50000000,-9.60568300
86.99999998,-9.66043300
87.49999997,-9.75762700
87.99999995,-9.86220500
88.49999994,-9.95939900
88.99999993,-10.00861000
89.49999991,-9.99753900
89.99999990,-9.99753900
90.49999988,-10.00861000
90.99999987,-9.95632300
91.49999985,-9.84867000
91.99999984,-9.79638200
92.49999983,-9.80745600
92.99999981,-9.80745600
93.49999980,-9.79638200
93.99999978,-9.85113100
94.49999977,-9.97047100
94.99999976,-9.97047100
95.49999974,-9.85113100
95.99999973,-9.79330700
96.49999971,-9.79330700
96.99999970,-9.85420700
97.49999969,-9.98400600
97.99999967,-9.92864100
98.49999966,-9.69119100
98.99999964,-9.63029000
99.49999963,-9.73855800
99.99999961,-9.90342000
100.49999960,-10.11934000
100.99999959,-10.17163000
101.49999957,-10.05290000
101.99999956,-9.94033000
102.49999954,-9.83206100
102.99999953,-9.83452200
103.49999952,-9.95386200
103.99999950,-10.00861000
104.49999949,-9.99753900
104.99999947,-10.00062000
105.49999946,-10.02215000
105.99999944,-9.91510800
106.49999943,-9.68811500
106.99999942,-9.63336600
107.49999940,-9.75209100
107.99999939,-9.86466500
108.49999937,-9.97293300
108.99999936,-9.96739700
109.49999935,-9.83759800
109.99999933,-9.83759800
110.49999932,-9.96739700
110.99999930,-9.97047100
111.49999929,-9.85113100
111.99999927,-9.79330700
112.49999926,-9.79330700
112.99999925,-9.84867000
113.49999923,-9.95632300
113.99999922,-10.00861000
114.49999920,-9.99753900
114.99999919,-9.99261800
115.49999918,-9.98154500
115.99999916,-10.03629000
116.49999915,-10.15563000
116.99999913,-10.15810000
117.49999912,-10.04983000
117.99999911,-9.94279000
118.49999909,-9.84559500
118.99999908,-9.79638200
119.49999906,-9.80745600
119.99999905,-9.80991600
120.49999903,-9.80991600
120.99999902,-9.81237700
121.49999901,-9.82344900
121.99999899,-9.77116100
122.49999898,-9.66350800
122.99999896,-9.60568300
123.49999895,-9.59461100
123.99999894,-9.70718500
124.49999892,-9.94525100
124.99999891,-9.94525100
125.49999889,-9.70718500
125.99999888,-9.59768700
126.49999886,-9.61921700
126.99999885,-9.61921700
127.49999884,-9.59768700
127.99999882,-9.70164800
128.49999881,-9.91818300
128.99999879,-10.02768000
129.49999878,-10.02768000
129.99999877,-9.91264700
130.49999875,-9.67458200
130.99999874,-9.67458200
131.49999872,-9.91264700
131.99999871,-10.01661000
132.49999870,-9.97354800
132.99999868,-10.07751000
133.49999867,-10.31557000
133.99999865,-10.31865000
134.49999864,-10.09166000
134.99999862,-9.93171700
135.49999861,-9.85666800
135.99999860,-9.75516700
136.49999858,-9.64689900
136.99999857,-9.65243500
137.49999855,-9.78223300
137.99999854,-9.77977300
138.49999853,-9.63890200
138.99999851,-9.68811500
139.49999850,-9.91510800
139.99999848,-10.02768000
140.49999847,-10.02768000
140.99999845,-9.91510800
141.49999844,-9.68811500
141.99999843,-9.63336600
142.49999841,-9.75209100
142.99999840,-9.86220500
143.49999838,-9.95939900
143.99999837,-10.00861000
144.49999836,-9.99753900
144.99999834,-10.00062000
145.49999833,-10.02215000
145.99999831,-9.91510800
146.49999830,-9.68811500
146.99999829,-9.63336600
147.49999827,-9.75209100
147.99999826,-9.86220500
148.49999824,-9.95939900
148.99999823,-10.01169000
