Time,Voltage
(ns),(mV)

310,-0.345719
312,-0.691437
314,-0.345719
316,-0.691437
318,-0.518578
320,-0.864296
322,-0.691437
324,-0.691437
326,-0.518578
328,-0.691437
330,-0.518578
332,-0.691437
334,-0.172859
336,-0.864296
338,-0.691437
340,-0.691437
342,-0.691437
344,-0.691437
346,-0.518578
348,-0.691437
350,-0.518578
352,-0.691437
354,-0.691437
356,-0.691437
358,-0.518578
360,-0.691437
362,-0.691437
364,-0.864296
366,-0.345719
368,-0.518578
370,-0.691437
372,-0.518578
374,-0.518578
376,-0.691437
378,-0.518578
380,-0.691437
382,-0.691437
384,-0.518578
386,-0.345719
388,-0.691437
390,-0.691437
392,-0.691437
394,-0.518578
396,-0.691437
398,-0.518578
400,-0.691437
402,-0.691437
404,-0.691437
406,-0.691437
408,-0.691437
410,-0.345719
412,-0.691437
414,-0.691437
416,-0.691437
418,-0.518578
420,-0.691437
422,-0.691437
424,-0.691437
426,-0.518578
428,-0.691437
430,-0.518578
432,-0.691437
434,-0.518578
436,-0.691437
438,-0.691437
440,-0.864296
442,-0.691437
444,-0.691437
446,-0.518578
448,-0.518578
450,-0.691437
452,-0.691437
454,-0.518578
456,-0.691437
458,-0.691437
460,-0.691437
462,-0.345719
464,-0.691437
466,-0.345719
468,-0.518578
470,-0.691437
472,-0.691437
474,-0.518578
476,-0.691437
478,-0.345719
480,-0.691437
482,-0.345719
484,-0.691437
486,-0.345719
488,-0.864296
490,-0.518578
492,-0.691437
494,-0.518578
496,-0.691437
498,-0.691437
500,-0.518578
502,-0.691437
504,-0.691437
506,-0.691437
508,-0.518578
510,-0.345719
512,-0.691437
514,-0.691437
516,-0.691437
518,-0.345719
520,-0.691437
522,-0.345719
524,-0.691437
526,-0.345719
528,-0.518578
530,-0.345719
532,-0.691437
534,-0.518578
536,-0.864296
538,-0.691437
540,-0.691437
542,-0.345719
544,-0.518578
546,-0.691437
548,-0.518578
550,-0.691437
552,-0.864296
554,-0.518578
556,-0.518578
558,-0.691437
560,-0.345719
562,-0.518578
564,-0.691437
566,-0.518578
568,-0.691437
570,-0.691437
572,-0.691437
574,-0.518578
576,-0.691437
578,-0.345719
580,-0.345719
582,-0.518578
584,-0.864296
586,-0.345719
588,-0.518578
590,-0.345719
592,-0.691437
594,-0.691437
596,-0.864296
598,-0.864296
600,-1.21001
602,-0.691437
604,-0.691437
606,-0.345719
608,-0.345719
610,-0.518578
612,-0.345719
614,-0.345719
616,-0.518578
618,-0.345719
620,-0.518578
622,-0.345719
624,-0.691437
626,-0.345719
628,-0.345719
630,-0.345719
632,-0.691437
634,-0.345719
636,-0.345719
638,-0.518578
640,-0.691437
642,-0.864296
644,-0.864296
646,-0.691437
648,-1.21001
650,-1.03716
652,-1.21001
654,-0.864296
656,-1.03716
658,-0.518578
660,-0.345719
662,-0.172859
664,-0.691437
666,-0.345719
668,-0.345719
670,-0.172859
672,-0.345719
674,-0.518578
676,-0.691437
678,-0.518578
680,-0.864296
682,-0.864296
684,-0.345719
686,-0.345719
688,-0.345719
690,-0.518578
692,-0.691437
694,-0.691437
696,-0.864296
698,-0.864296
700,-1.03716
702,-0.691437
704,-1.03716
706,-1.03716
708,-0.864296
710,-0.864296
712,-0.691437
714,-0.691437
716,-0.864296
718,-0.691437
720,-0.691437
722,-0.518578
724,-0.691437
726,-0.518578
728,-0.864296
730,-0.345719
732,-0.518578
734,-0.691437
736,-0.518578
738,-0.691437
740,-0.691437
742,-0.864296
744,-1.21001
746,-0.864296
748,-0.864296
750,-1.03716
752,-0.864296
754,-1.03716
756,-1.03716
758,-1.03716
760,-1.21001
762,-1.03716
764,-1.03716
766,-1.03716
768,-1.03716
770,-1.03716
772,-0.691437
774,-0.345719
776,-0.691437
778,-0.345719
780,-0.345719
782,-0.518578
784,-0.518578
786,-0.345719
788,-0.345719
790,-0.691437
792,-1.21001
794,-0.691437
796,-0.864296
798,-0.864296
800,-0.864296
802,-1.03716
804,-0.691437
806,-1.03716
808,-1.21001
